beat_count_max,beat_count_mean,beat_count_min,beat_count_sd,cond_timing_sd_ms,frac_unstable_beats,gt_detection_prob,nfe,seed_pair_f1,subject,window
11,8.875,4,1.3380293646423316,18.75,0.0,0.90625,1,0.7368421052631577,an0,16270
11,9.875,6,0.7931155389125321,17.821593193388864,0.0,0.96875,1,0.9,an0,16290
11,8.90625,6,0.777065405973841,22.52409573740356,0.0,0.9375,1,0.7777777777777778,an0,16369
10,8.40625,6,1.042929342239073,26.79668434400599,0.3333333333333333,0.9375,1,0.625,an0,16508
11,9.25,9,0.508000508000762,17.206285787448877,0.0,1.0,1,0.8888888888888888,an0,16510
10,9.0625,7,0.6690146823211658,23.740714416295347,0.0,0.96875,1,0.7777777777777778,an0,16532
13,10.1875,7,1.3060035073805594,81.26465197345291,0.9,0.59375,1,0.11764705882352941,an0,16649
12,9.21875,5,1.6211181923439102,84.41513053268815,1.0,0.46875,1,0.1111111111111111,an0,16793
12,9.375,4,1.75517667523538,71.02726254008623,1.0,0.5625,1,0.1904761904761905,an0,16899
12,9.25,3,1.684847078348464,84.34826868006435,0.8333333333333334,0.3125,1,0.10526315789473685,an0,16911
13,9.6875,5,1.8216883342374386,79.0135022949994,0.7692307692307693,0.40625,1,0.13333333333333333,an0,16920
11,8.8125,7,1.1198358174592007,59.589911677940265,0.2222222222222222,0.8125,1,0.3157894736842105,an0,17032
11,8.875,7,1.0395408415691625,56.33851491550503,0.375,0.8125,1,0.2761904761904762,an0,17170
11,8.90625,7,1.0273478224959143,65.4876198041534,0.3333333333333333,0.8125,1,0.25,an0,17272
12,9.28125,6,1.3496564676409923,83.4959351139656,0.9,0.609375,1,0.125,an0,17329
12,9.15625,4,1.8855883825445832,75.35663448165991,1.0,0.4375,1,0.11764705882352941,an0,17581
13,9.875,4,1.9468750809040527,79.2699009224873,0.9,0.3125,1,0.1111111111111111,an0,18019
12,9.875,8,0.9755064854862865,77.49442208501345,0.7777777777777778,0.4375,1,0.11111111111111112,an0,18037
14,9.59375,5,1.829143550690393,75.24913411203468,1.0,0.5625,1,0.12500000000000003,an0,18288
10,8.75,7,0.8032193289024988,70.72222012609339,0.1111111111111111,0.875,1,0.25,an0,18317
13,9.6875,4,2.116562947251373,93.9920855921337,0.9090909090909091,0.46875,1,0.1111111111111111,an0,18391
12,9.84375,6,1.526314874714321,86.44892017030121,0.875,0.4375,1,0.10526315789473685,an0,18398
12,9.3125,6,1.1198358174592007,65.63726719502338,0.1111111111111111,0.875,1,0.3,an0,18542
10,8.78125,7,0.8321900759926455,63.53364020343868,0.1111111111111111,0.84375,1,0.3333333333333333,an0,18572
11,9.625,6,1.211503997304124,75.80635205630833,0.7777777777777778,0.65625,1,0.1904761904761905,an0,18587
12,8.875,5,1.497309414874216,56.76621192950309,0.8,0.28125,1,0.15384615384615385,an0,18691
12,10.25,4,1.684847078348464,79.25933003333088,1.0,0.421875,1,0.10526315789473685,an0,18727
13,10.6875,5,1.8567661794532155,76.56446510112984,0.75,0.703125,1,0.2222222222222222,an0,18750
13,9.96875,6,1.5342198816210442,65.72492729591208,1.0,0.46875,1,0.17391304347826086,an0,19081
13,9.6875,4,2.161801817182647,79.48946966575122,1.0,0.375,1,0.11111111111111112,an0,19234
11,8.75,5,1.6064386578049976,69.05407860573618,0.8888888888888888,0.5625,1,0.20000000000000004,an0,19253
11,9.28125,7,0.9583041136265399,63.532801078017,0.1111111111111111,0.84375,1,0.25,an0,19267
13,9.46875,7,1.2439369084716734,66.5154032441974,0.6363636363636364,0.28125,1,0.13333333333333333,an0,19325
12,9.3125,3,1.7308864035330234,nan,0.8888888888888888,0.4375,1,0.10526315789473685,an0,19340
13,9.78125,5,1.679753726188801,75.8549161688389,0.8333333333333334,0.421875,1,0.11111111111111112,an0,19437
10,8.875,7,0.6599120175960898,52.44237049008814,0.1111111111111111,0.96875,1,0.4210526315789474,an0,19473
13,10.21875,7,1.3850439611050431,80.79560438229298,0.9,0.546875,1,0.16666666666666666,an0,19485
12,9.375,5,1.51870063307527,72.8057020191676,0.5,0.734375,1,0.2222222222222222,an0,19595
11,9.78125,8,0.75067174218571,67.71502653207509,0.1,0.90625,1,0.3,an0,19622
