seed,arm,nfe,metric,value,ci_lo,ci_hi
1,C,1,Rpeak_F1,0.7599214797580968,0.7501633711265915,0.7695137823807998
1,C,1,RR_MAE_ms,9.33691911483652,9.092351469827866,9.599942847309073
1,C,1,MAE,0.30320806881981205,0.298446931090344,0.30806915546836316
1,C,1,RMSE,0.36313441365647675,0.3585842217958186,0.3677836881803318
1,C,1,FD_kanflow,33.407079774448846,,
1,C,1,Micro_F1,0.7831173513105465,,
1,C,1,ms_per_window,0.7997628386579608,,
1,C,2,HR,29.0677181635603,28.726130580243993,29.408823658676027
1,C,2,Rpeak_F1,0.04539798276649383,0.04435046615770925,0.04651258976014514
1,C,2,RR_MAE_ms,31.36650219298246,29.11076848491955,33.60898788994068
1,C,2,MAE,0.529691598027662,0.5261154767591298,0.5332648591984466
1,C,2,RMSE,0.6664369776450854,0.6627328329063156,0.6701715216344476
1,C,2,FD_kanflow,103.23626048028288,,
1,C,2,Micro_F1,0.048628292595136346,,
1,C,2,ms_per_window,1.7127945421888142,,
1,C,4,HR,15.277149172564199,14.915444921994581,15.631861089516732
1,C,4,Rpeak_F1,0.5774104274405497,0.5699471346229996,0.5846992731489234
1,C,4,RR_MAE_ms,22.951671724393158,22.719058087086758,23.188915394656988
1,C,4,MAE,0.41196013690734207,0.40767888308394284,0.4163193260171636
1,C,4,RMSE,0.5194968883595455,0.5153445995619821,0.5236819421623439
1,C,4,FD_kanflow,28.379000646319213,,
1,C,4,Micro_F1,0.5847199607248565,,
1,C,4,ms_per_window,2.277423222548604,,
1,C,50,HR,11.037073740106912,10.735783445357752,11.370110484445167
1,C,50,Rpeak_F1,0.6105498623709943,0.6029824815090215,0.6179133587359587
1,C,50,RR_MAE_ms,24.53477925554218,24.319081686297483,24.752906164485992
1,C,50,MAE,0.4078225407136533,0.40371456612874496,0.4121045576449221
1,C,50,RMSE,0.5043666031835387,0.5004240490854835,0.5082884398967081
1,C,50,FD_kanflow,2.5777904629822785,,
1,C,50,Micro_F1,0.6061187221141071,,
1,C,50,ms_per_window,28.747764687790404,,
1,C,1,HR_consensus_K16,7.34037345845235,6.923782973451606,7.754385531225856
1,I,1,HR,9.13731860002594,8.793095269374689,9.490077952865724
1,I,1,Rpeak_F1,0.6657596369086335,0.6574078921067174,0.67395596569954
1,I,1,RR_MAE_ms,22.33959166109203,22.130607358366476,22.54449072464646
