round,global_step,frac_of_T,s,beta_h005,beta_h025,beta_h050,beta_h075,beta_h095,is_best,no_improve
256,56320,0.853333,0.146667,1.0,1.0,1.0,1.0,1.0,0,121
257,56540,0.856667,0.143333,1.0,1.0,1.0,1.0,1.0,0,122
258,56760,0.86,0.14,1.0,1.0,1.0,1.0,1.0,0,123
259,56980,0.863333,0.136667,1.0,1.0,1.0,1.0,1.0,0,124
260,57200,0.866667,0.133333,1.0,1.0,1.0,1.0,1.0,0,125
261,57420,0.87,0.13,1.0,1.0,1.0,1.0,1.0,0,126
262,57640,0.873333,0.126667,1.0,1.0,1.0,1.0,1.0,0,127
263,57860,0.876667,0.123333,1.0,1.0,1.0,1.0,1.0,0,128
264,58080,0.88,0.12,1.0,1.0,1.0,1.0,1.0,0,129
265,58300,0.883333,0.116667,1.0,1.0,1.0,1.0,1.0,0,130
266,58520,0.886667,0.113333,1.0,1.0,1.0,1.0,1.0,0,131
267,58740,0.89,0.11,1.0,1.0,1.0,1.0,1.0,0,132
268,58960,0.893333,0.106667,1.0,1.0,1.0,1.0,1.0,0,133
269,59180,0.896667,0.103333,1.0,1.0,1.0,1.0,1.0,0,134
270,59400,0.9,0.1,1.0,1.0,1.0,1.0,1.0,0,135
271,59620,0.903333,0.096667,1.0,1.0,1.0,1.0,1.0,0,136
272,59840,0.906667,0.093333,1.0,1.0,1.0,1.0,1.0,0,137
273,60060,0.91,0.09,1.0,1.0,1.0,1.0,1.0,0,138
274,60280,0.913333,0.086667,1.0,1.0,1.0,1.0,1.0,0,139
275,60500,0.916667,0.083333,1.0,1.0,1.0,1.0,1.0,0,140
276,60720,0.92,0.08,1.0,1.0,1.0,1.0,1.0,0,141
277,60940,0.923333,0.076667,1.0,1.0,1.0,1.0,1.0,0,142
278,61160,0.926667,0.073333,1.0,1.0,1.0,1.0,1.0,0,143
279,61380,0.93,0.07,1.0,1.0,1.0,1.0,1.0,0,144
280,61600,0.933333,0.066667,1.0,1.0,1.0,1.0,1.0,0,145
281,61820,0.936667,0.063333,1.0,1.0,1.0,1.0,1.0,0,146
282,62040,0.94,0.06,1.0,1.0,1.0,1.0,1.0,0,147
283,62260,0.943333,0.056667,1.0,1.0,1.0,1.0,1.0,0,148
284,62480,0.946667,0.053333,1.0,1.0,1.0,1.0,1.0,0,149
285,62700,0.95,0.05,1.0,1.0,1.0,1.0,1.0,0,150
286,62920,0.953333,0.046667,1.0,1.0,1.0,1.0,1.0,0,151
287,63140,0.956667,0.043333,1.0,1.0,1.0,1.0,1.0,0,152
288,63360,0.96,0.04,1.0,1.0,1.0,1.0,1.0,0,153
289,63580,0.963333,0.036667,1.0,1.0,1.0,1.0,1.0,0,154
290,63800,0.966667,0.033333,1.0,1.0,1.0,1.0,1.0,0,155
291,64020,0.97,0.03,1.0,1.0,1.0,1.0,1.0,0,156
292,64240,0.973333,0.026667,1.0,1.0,1.0,1.0,1.0,0,157
293,64460,0.976667,0.023333,1.0,1.0,1.0,1.0,1.0,0,158
294,64680,0.98,0.02,1.0,1.0,1.0,1.0,1.0,0,159
295,64900,0.983333,0.016667,1.0,1.0,1.0,1.0,1.0,0,160
296,65120,0.986667,0.013333,1.0,1.0,1.0,1.0,1.0,0,161
297,65340,0.99,0.01,1.0,1.0,1.0,1.0,1.0,0,162
298,65560,0.993333,0.006667,1.0,1.0,1.0,1.0,1.0,0,163
299,65780,0.996667,0.003333,1.0,1.0,1.0,1.0,1.0,0,164
300,66000,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,165
