model,B,n_cal,policy,mean_regret,mean_regret_ci,near_optimal_rate,near_optimal_rate_ci,material_rate,mean_heldout_risk,mean_heldout_risk_ci,median_regret,regret_p2.5_p97.5_across_subsets,oracle_recovery,fullval_recovery,fullval_recovery_ci,within_delta_of_fullval,entropy_nats,micro_mean_regret
iMF,16,200,fullval,0.000887,"[0.0, 0.016428]",1.0,"[0.99, 1.0]",0.0,6.384095,"[5.685395, 7.20633]",,,,,,,,
CD,32,5,UCB,0.403199,"[0.269746, 0.493407]",0.445,"[0.385, 0.695]",0.36,6.409889,"[5.598573, 7.199451]",0.259378,"[0.0, 2.147686]",0.445,0.445,"[0.345, 0.575]",0.445,1.498283,0.403034
CD,32,5,ERM,0.220845,"[0.154187, 0.290617]",0.565,"[0.485, 0.83]",0.205,6.227535,"[5.453249, 7.031768]",0.0,"[0.0, 1.792764]",0.565,0.565,"[0.44, 0.675]",0.565,1.19137,0.220601
CD,32,5,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.00669,"[5.246038, 6.802037]",,,,,,,,
CD,32,5,pure_depth,2.114913,"[1.774909, 2.467608]",0.0,"[0.0, 0.0]",1.0,8.121602,"[7.323431, 8.96079]",,,,,,,,
CD,32,5,balanced,0.469367,"[0.300852, 0.655593]",0.0,"[0.0, 0.0]",1.0,6.476057,"[5.753196, 7.247021]",,,,,,,,
CD,32,5,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.00669,"[5.246038, 6.802037]",,,,,,,,
CD,32,5,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.00669,"[5.246038, 6.802037]",,,,,,,,
CD,32,10,UCB,0.169926,"[0.124454, 0.252052]",0.6,"[0.51, 0.855]",0.155,6.175818,"[5.413187, 7.011739]",0.0,"[0.0, 0.846503]",0.6,0.6,"[0.45, 0.74]",0.6,1.06072,0.169137
CD,32,10,ERM,0.107338,"[0.084009, 0.166407]",0.695,"[0.6, 0.91]",0.06,6.11323,"[5.362844, 6.930212]",0.0,"[0.0, 0.84782]",0.695,0.695,"[0.52, 0.81]",0.695,0.807856,0.106194
CD,32,10,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.005891,"[5.242231, 6.798964]",,,,,,,,
CD,32,10,pure_depth,2.113526,"[1.774105, 2.466653]",0.0,"[0.0, 0.0]",1.0,8.119418,"[7.325517, 8.958828]",,,,,,,,
CD,32,10,balanced,0.468736,"[0.299903, 0.656059]",0.0,"[0.0, 0.0]",1.0,6.474628,"[5.753506, 7.242672]",,,,,,,,
CD,32,10,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.005891,"[5.242231, 6.798964]",,,,,,,,
CD,32,10,fullval,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.005891,"[5.242231, 6.798964]",,,,,,,,
CD,32,25,UCB,0.094792,"[0.041943, 0.146292]",0.765,"[0.63, 0.955]",0.1,6.105795,"[5.304664, 6.921152]",0.0,"[0.0, 0.52086]",0.765,0.765,"[0.505, 0.915]",0.765,0.747792,0.094672
CD,32,25,ERM,0.042098,"[0.023386, 0.083172]",0.88,"[0.74, 0.975]",0.03,6.0531,"[5.286079, 6.8715]",0.0,"[0.0, 0.51476]",0.88,0.88,"[0.62, 0.955]",0.88,0.434405,0.041992
CD,32,25,pure_width,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.011002,"[5.241895, 6.79922]",,,,,,,,
CD,32,25,pure_depth,2.114186,"[1.773256, 2.466609]",0.0,"[0.0, 0.0]",1.0,8.125189,"[7.315771, 8.956696]",,,,,,,,
CD,32,25,balanced,0.46876,"[0.299776, 0.655396]",0.0,"[0.0, 0.0]",0.965,6.479762,"[5.752005, 7.243103]",,,,,,,,
CD,32,25,historical,0.0,"[0.0, 0.0]",1.0,"[1.0, 1.0]",0.0,6.011002,"[5.241895, 6.79922]",,,,,,,,
