model,B,n_cal,subset,UCB_K,UCB_S,UCB_cal_mean,UCB_cal_ucb,UCB_heldout_risk,UCB_regret,UCB_near_optimal,UCB_heldout_micro_risk,ERM_K,ERM_S,ERM_cal_mean,ERM_cal_ucb,ERM_heldout_risk,ERM_regret,ERM_near_optimal,ERM_heldout_micro_risk,oracle_K,oracle_S,oracle_risk,fullval_heldout_risk,regret_pure_width,regret_pure_depth,regret_balanced,regret_historical,regret_fullval
CD,16,200,62,16,1,6.262069,6.908888,5.633669,0.0,True,5.635228,16,1,6.262069,6.908888,5.633669,0.0,True,5.635228,16,1,5.633669,5.633669,0.0,1.979226,0.982667,0.0,0.0
CD,16,200,63,16,1,5.838028,6.425011,6.586571,0.0,True,6.550011,16,1,5.838028,6.425011,6.586571,0.0,True,6.550011,16,1,6.586571,6.586571,0.0,2.303832,0.894951,0.0,0.0
CD,16,200,64,16,1,6.605964,7.281432,4.860871,0.0,True,4.84816,16,1,6.605964,7.281432,4.860871,0.0,True,4.84816,16,1,4.860871,4.860871,0.0,1.989904,1.162713,0.0,0.0
CD,16,200,65,16,1,6.279983,6.881164,5.593412,0.0,True,5.513942,16,1,6.279983,6.881164,5.593412,0.0,True,5.513942,16,1,5.593412,5.593412,0.0,2.425379,0.879977,0.0,0.0
CD,16,200,66,16,1,5.684373,6.269346,6.931863,0.0,True,6.765227,16,1,5.684373,6.269346,6.931863,0.0,True,6.765227,16,1,6.931863,6.931863,0.0,1.701982,0.713567,0.0,0.0
CD,16,200,67,16,1,6.024296,6.617119,6.167992,0.0,True,6.10432,16,1,6.024296,6.617119,6.167992,0.0,True,6.10432,16,1,6.167992,6.167992,0.0,2.009679,0.98132,0.0,0.0
CD,16,200,68,16,1,6.03828,6.676156,6.136565,0.0,True,6.127894,16,1,6.03828,6.676156,6.136565,0.0,True,6.127894,16,1,6.136565,6.136565,0.0,1.937928,0.723009,0.0,0.0
CD,16,200,69,16,1,5.800076,6.371327,6.671856,0.0,True,6.516605,16,1,5.800076,6.371327,6.671856,0.0,True,6.516605,16,1,6.671856,6.671856,0.0,1.762404,0.970879,0.0,0.0
CD,16,200,70,16,1,6.369049,7.00889,5.393266,0.0,True,5.501266,16,1,6.369049,7.00889,5.393266,0.0,True,5.501266,16,1,5.393266,5.393266,0.0,2.165299,0.926072,0.0,0.0
CD,16,200,71,16,1,5.681332,6.275573,6.938697,0.0,True,6.806506,16,1,5.681332,6.275573,6.938697,0.0,True,6.806506,16,1,6.938697,6.938697,0.0,1.675279,0.965251,0.0,0.0
CD,16,200,72,16,1,6.006932,6.661262,6.207012,0.0,True,6.239513,16,1,6.006932,6.661262,6.207012,0.0,True,6.239513,16,1,6.207012,6.207012,0.0,1.855212,0.718598,0.0,0.0
CD,16,200,73,16,1,6.15169,6.771883,5.881713,0.0,True,5.882992,16,1,6.15169,6.771883,5.881713,0.0,True,5.882992,16,1,5.881713,5.881713,0.0,1.702665,0.809833,0.0,0.0
CD,16,200,74,16,1,5.951013,6.577877,6.332672,0.0,True,6.302586,16,1,5.951013,6.577877,6.332672,0.0,True,6.302586,16,1,6.332672,6.332672,0.0,2.06142,1.148231,0.0,0.0
CD,16,200,75,16,1,6.201994,6.847315,5.768669,0.0,True,5.775154,16,1,6.201994,6.847315,5.768669,0.0,True,5.775154,16,1,5.768669,5.768669,0.0,1.882583,0.889051,0.0,0.0
CD,16,200,76,16,1,6.199157,6.844208,5.775044,0.0,True,5.739753,16,1,6.199157,6.844208,5.775044,0.0,True,5.739753,16,1,5.775044,5.775044,0.0,2.57277,1.106114,0.0,0.0
CD,16,200,77,16,1,5.77335,6.401281,6.731914,0.0,True,6.661932,16,1,5.77335,6.401281,6.731914,0.0,True,6.661932,16,1,6.731914,6.731914,0.0,2.363193,1.115258,0.0,0.0
CD,16,200,78,16,1,6.210581,6.81242,5.749373,0.0,True,5.661088,16,1,6.210581,6.81242,5.749373,0.0,True,5.661088,16,1,5.749373,5.749373,0.0,2.03803,0.859934,0.0,0.0
CD,16,200,79,16,1,6.49584,7.176023,5.108342,0.0,True,5.185924,16,1,6.49584,7.176023,5.108342,0.0,True,5.185924,16,1,5.108342,5.108342,0.0,2.254038,0.828494,0.0,0.0
CD,16,200,80,16,1,5.398478,5.880444,7.574324,0.0,True,7.449145,16,1,5.398478,5.880444,7.574324,0.0,True,7.449145,16,1,7.574324,7.574324,0.0,2.051466,0.866496,0.0,0.0
CD,16,200,81,16,1,6.097104,6.714069,6.004376,0.0,True,5.933809,16,1,6.097104,6.714069,6.004376,0.0,True,5.933809,16,1,6.004376,6.004376,0.0,2.511726,1.10954,0.0,0.0
CD,16,200,82,16,1,6.375482,7.003698,5.378808,0.0,True,5.378256,16,1,6.375482,7.003698,5.378808,0.0,True,5.378256,16,1,5.378808,5.378808,0.0,2.788924,1.122048,0.0,0.0
CD,16,200,83,16,1,6.303022,6.937175,5.54164,0.0,True,5.453231,16,1,6.303022,6.937175,5.54164,0.0,True,5.453231,16,1,5.54164,5.54164,0.0,2.125961,1.08079,0.0,0.0
CD,16,200,84,16,1,6.431254,7.036698,5.25348,0.0,True,5.273384,16,1,6.431254,7.036698,5.25348,0.0,True,5.273384,16,1,5.25348,5.25348,0.0,2.29536,0.906109,0.0,0.0
CD,16,200,85,16,1,6.049103,6.653962,6.112245,0.0,True,6.150894,16,1,6.049103,6.653962,6.112245,0.0,True,6.150894,16,1,6.112245,6.112245,0.0,1.93441,0.963405,0.0,0.0
CD,16,200,86,16,1,6.242117,6.87042,5.678507,0.0,True,5.644569,16,1,6.242117,6.87042,5.678507,0.0,True,5.644569,16,1,5.678507,5.678507,0.0,1.995967,1.069244,0.0,0.0
CD,16,200,87,16,1,6.142949,6.729501,5.901355,0.0,True,5.914236,16,1,6.142949,6.729501,5.901355,0.0,True,5.914236,16,1,5.901355,5.901355,0.0,2.39498,0.949421,0.0,0.0
CD,16,200,88,16,1,6.197774,6.823601,5.778153,0.0,True,5.778153,16,1,6.197774,6.823601,5.778153,0.0,True,5.778153,16,1,5.778153,5.778153,0.0,2.290114,0.917125,0.0,0.0
