B,arm,delta_r2,domain,fold,n_perm,null_hi,null_lo,null_mean,r2,setting
32,HF,0.000764,FULL,3,100,-0.056732,-0.064733,-0.060575,-0.059811,train_crossfit
32,HF,0.000299,QRS,3,100,-0.051929,-0.053798,-0.052842,-0.052543,train_crossfit
32,HF,0.02325,HF,3,100,-0.027177,-0.028108,-0.027673,-0.004423,train_crossfit
64,RAW,0.26415,FULL,3,100,-0.047637,-0.072166,-0.059778,0.204372,train_crossfit
64,RAW,0.030166,QRS,3,100,-0.050697,-0.054532,-0.052478,-0.022312,train_crossfit
64,RAW,0.007301,HF,3,100,-0.027093,-0.027775,-0.027389,-0.020088,train_crossfit
64,WHITE,0.001983,FULL,3,100,-0.054481,-0.063972,-0.059481,-0.057498,train_crossfit
64,WHITE,0.003243,QRS,3,100,-0.051551,-0.053492,-0.05256,-0.049317,train_crossfit
64,WHITE,0.008268,HF,3,100,-0.027008,-0.027866,-0.02743,-0.019163,train_crossfit
64,HF,0.006131,FULL,3,100,-0.05565,-0.064145,-0.05962,-0.053489,train_crossfit
64,HF,0.001147,QRS,3,100,-0.051807,-0.05342,-0.05256,-0.051413,train_crossfit
64,HF,0.030571,HF,3,100,-0.026898,-0.027866,-0.027422,0.00315,train_crossfit
64,RESID,0.330578,FULL,3,100,-0.04198,-0.075731,-0.059117,0.271461,train_crossfit
64,RESID,0.033244,QRS,3,100,-0.050461,-0.054606,-0.052413,-0.019169,train_crossfit
64,RESID,0.007791,HF,3,100,-0.027055,-0.027847,-0.027443,-0.019652,train_crossfit
128,RAW,0.293973,FULL,3,100,-0.043125,-0.07055,-0.058836,0.235137,train_crossfit
128,RAW,0.034516,QRS,3,100,-0.050391,-0.054972,-0.052819,-0.018303,train_crossfit
128,RAW,0.009434,HF,3,100,-0.02709,-0.027995,-0.027552,-0.018118,train_crossfit
128,WHITE,0.006282,FULL,3,100,-0.054829,-0.063414,-0.059474,-0.053191,train_crossfit
