round,global_step,s,bin,n,h_mean,beta_mean,w_mean,effective_w_mean,delta2_mean,u_norm_mean,dudt_norm_mean,hdudt_norm_mean
25,5450,0.916667,"[0.3,0.5)",1623,0.386417,1.0,0.00553816,0.00553816,273.8394,32.8223,25.0342,9.497
25,5450,0.916667,"[0.5,0.7)",465,0.571759,1.0,0.00631092,0.00631092,208.8836,32.5583,16.7936,9.5514
25,5450,0.916667,"[0.7,1.0)",53,0.75346,1.0,0.00548414,0.00548414,225.6317,32.4753,15.8065,11.9022
25,5450,0.916667,boundary(r=t),6949,0.0,1.0,0.00817586,0.00817586,145.9714,0.0,0.0,0.0
26,5668,0.913333,"[0.0,0.1)",1872,0.049372,1.0,0.0080825,0.0080825,155.3873,32.864,32.9771,1.5952
26,5668,0.913333,"[0.1,0.3)",2894,0.192972,1.0,0.00632707,0.00632707,211.8219,33.0149,31.9069,6.1531
26,5668,0.913333,"[0.3,0.5)",1582,0.388909,1.0,0.00555428,0.00555428,279.3839,32.9221,25.4749,9.7217
26,5668,0.913333,"[0.5,0.7)",549,0.574618,1.0,0.0065341,0.0065341,203.2202,32.9262,16.9507,9.6656
26,5668,0.913333,"[0.7,1.0)",53,0.745967,1.0,0.00602319,0.00602319,225.9163,31.5746,14.3228,10.7219
26,5668,0.913333,boundary(r=t),6949,0.0,1.0,0.00812536,0.00812536,146.0784,0.0,0.0,0.0
27,5886,0.91,"[0.0,0.1)",1788,0.05066,1.0,0.00794109,0.00794109,158.6597,32.9483,33.9574,1.6867
27,5886,0.91,"[0.1,0.3)",2970,0.192774,1.0,0.00635491,0.00635491,210.3302,33.0803,31.9271,6.1544
27,5886,0.91,"[0.3,0.5)",1618,0.386901,1.0,0.00560484,0.00560484,265.9,32.8311,24.7036,9.3962
27,5886,0.91,"[0.5,0.7)",512,0.576208,1.0,0.00640213,0.00640213,192.1558,32.7834,16.5071,9.4616
27,5886,0.91,"[0.7,1.0)",62,0.746108,1.0,0.0066904,0.0066904,216.3799,32.511,14.8904,11.1465
27,5886,0.91,boundary(r=t),6949,0.0,1.0,0.00812722,0.00812722,146.7641,0.0,0.0,0.0
28,6104,0.906667,"[0.0,0.1)",1834,0.04907,1.0,0.0080492,0.0080492,158.5944,32.7824,33.3967,1.6356
28,6104,0.906667,"[0.1,0.3)",2884,0.194505,1.0,0.00643973,0.00643973,210.643,33.136,31.986,6.1822
28,6104,0.906667,"[0.3,0.5)",1587,0.388891,1.0,0.00551653,0.00551653,287.9868,33.0196,25.8047,9.8874
28,6104,0.906667,"[0.5,0.7)",587,0.575096,1.0,0.00637254,0.00637254,200.5873,32.7415,16.7086,9.5608
28,6104,0.906667,"[0.7,1.0)",58,0.744062,1.0,0.00601814,0.00601814,249.9703,33.1679,16.9963,12.5917
28,6104,0.906667,boundary(r=t),6949,0.0,1.0,0.00821447,0.00821447,145.8686,0.0,0.0,0.0
29,6322,0.903333,"[0.0,0.1)",1867,0.048977,1.0,0.00800063,0.00800063,157.0875,32.8695,33.5356,1.624
29,6322,0.903333,"[0.1,0.3)",2889,0.193663,1.0,0.00650103,0.00650103,202.4928,33.0693,31.0532,5.9763
29,6322,0.903333,"[0.3,0.5)",1614,0.386652,1.0,0.0054123,0.0054123,280.549,32.913,26.024,9.8526
29,6322,0.903333,"[0.5,0.7)",534,0.575281,1.0,0.00624687,0.00624687,202.7261,32.7375,16.8725,9.6408
29,6322,0.903333,"[0.7,1.0)",46,0.741138,1.0,0.00568858,0.00568858,231.0862,32.4073,15.6401,11.6222
29,6322,0.903333,boundary(r=t),6949,0.0,1.0,0.00820598,0.00820598,146.7665,0.0,0.0,0.0
30,6540,0.9,"[0.0,0.1)",1796,0.050653,1.0,0.00811054,0.00811054,154.2862,32.8856,32.2924,1.615
30,6540,0.9,"[0.1,0.3)",3005,0.192985,1.0,0.00646296,0.00646296,207.2615,32.9253,31.5852,6.0773
30,6540,0.9,"[0.3,0.5)",1582,0.388331,1.0,0.00554878,0.00554878,275.6349,32.8707,25.3816,9.7019
30,6540,0.9,"[0.5,0.7)",509,0.570821,1.0,0.00620947,0.00620947,214.8925,32.9644,17.283,9.7753
30,6540,0.9,"[0.7,1.0)",58,0.749461,1.0,0.00598462,0.00598462,233.3398,32.4998,16.5806,12.4322
30,6540,0.9,boundary(r=t),6949,0.0,1.0,0.00828667,0.00828667,143.9418,0.0,0.0,0.0
